date,price
22-Aug-12,0.015
23-Aug-12,0.002
24-Aug-12,0.01
27-Aug-12,0.022
28-Aug-12,0.02
29-Aug-12,0.015
30-Aug-12,0.005
31-Aug-12,0.003
3-Sep-12,-0.01
4-Sep-12,-0.035
5-Sep-12,-0.015
6-Sep-12,-0.025
7-Sep-12,-0.053
10-Sep-12,-0.05
11-Sep-12,-0.052
12-Sep-12,-0.055
13-Sep-12,-0.035
14-Sep-12,-0.047
17-Sep-12,0.01
18-Sep-12,-0.001
19-Sep-12,-0.015
20-Sep-12,0.005
21-Sep-12,-0.02
24-Sep-12,-0.01
25-Sep-12,0.008
26-Sep-12,0.025
27-Sep-12,0.01
28-Sep-12,0.009
1-Oct-12,-0.002
2-Oct-12,-0.01
3-Oct-12,-0.001
4-Oct-12,-0.003
5-Oct-12,-0.038
8-Oct-12,-0.02
9-Oct-12,-0.012
10-Oct-12,-0.013
11-Oct-12,-0.015
12-Oct-12,-0.055
15-Oct-12,-0.05
16-Oct-12,-0.08
17-Oct-12,-0.065
18-Oct-12,-0.046
19-Oct-12,-0.045
22-Oct-12,-0.045
23-Oct-12,-0.05
24-Oct-12,-0.04
25-Oct-12,-0.063
26-Oct-12,-0.043
29-Oct-12,-0.04
30-Oct-12,-0.045
31-Oct-12,-0.047
1-Nov-12,-0.045
2-Nov-12,-0.04
5-Nov-12,-0.03
6-Nov-12,-0.03
7-Nov-12,-0.08
8-Nov-12,-0.055
9-Nov-12,-0.1
12-Nov-12,-0.11
13-Nov-12,-0.088
14-Nov-12,-0.125
15-Nov-12,-0.115
16-Nov-12,-0.09
19-Nov-12,-0.1
20-Nov-12,-0.1
21-Nov-12,-0.075
22-Nov-12,-0.07
23-Nov-12,-0.075
26-Nov-12,-0.088
27-Nov-12,-0.085
28-Nov-12,-0.045
29-Nov-12,-0.045
30-Nov-12,-0.057
3-Dec-12,-0.02
4-Dec-12,-0.015
5-Dec-12,-0.022
6-Dec-12,0.003
7-Dec-12,-0.002
10-Dec-12,-0.021
11-Dec-12,-0.025
12-Dec-12,-0.032
13-Dec-12,-0.043
14-Dec-12,-0.05
17-Dec-12,-0.055
18-Dec-12,-0.083
19-Dec-12,-0.068
20-Dec-12,-0.08
21-Dec-12,-0.055
24-Dec-12,-0.088
25-Dec-12,-0.11
26-Dec-12,-0.133
27-Dec-12,-0.127
28-Dec-12,-0.14
31-Dec-12,-0.14
1-Jan-13,-0.14
2-Jan-13,-0.085
3-Jan-13,-0.052
4-Jan-13,-0.02
7-Jan-13,-0.032
8-Jan-13,-0.025
9-Jan-13,-0.035
10-Jan-13,-0.085
11-Jan-13,-0.083
14-Jan-13,-0.057
15-Jan-13,-0.043
16-Jan-13,-0.032
17-Jan-13,-0.025
18-Jan-13,-0.04
21-Jan-13,-0.04
22-Jan-13,-0.035
23-Jan-13,-0.028
24-Jan-13,-0.013
25-Jan-13,-0.015
28-Jan-13,0.007
29-Jan-13,-0.01
30-Jan-13,-0.015
31-Jan-13,0.015
1-Feb-13,0.025
4-Feb-13,0.005
5-Feb-13,0.015
6-Feb-13,0.015
7-Feb-13,0.02
8-Feb-13,0.03
11-Feb-13,0.058
12-Feb-13,0.057
13-Feb-13,0.058
14-Feb-13,0.058
15-Feb-13,0.039
18-Feb-13,0.015
19-Feb-13,0.01
20-Feb-13,-0.005
21-Feb-13,0.02
22-Feb-13,0.015
25-Feb-13,-0.007
26-Feb-13,0.002
27-Feb-13,-0.008
28-Feb-13,-0.008
1-Mar-13,0.01
4-Mar-13,0.038
5-Mar-13,-0.007
6-Mar-13,-0.015
7-Mar-13,-0.007
8-Mar-13,-0.01
11-Mar-13,0.005
12-Mar-13,-0.007
13-Mar-13,-0.025
14-Mar-13,-0.01
15-Mar-13,0.003
18-Mar-13,0.002
19-Mar-13,-0.01
20-Mar-13,-0.035
21-Mar-13,-0.02
22-Mar-13,0.015
25-Mar-13,-0.015
26-Mar-13,-0.06
27-Mar-13,-0.04
28-Mar-13,-0.02
29-Mar-13,-0.013
1-Apr-13,-0.02
2-Apr-13,-0.03
3-Apr-13,-0.015
4-Apr-13,-0.015
5-Apr-13,-0.015
8-Apr-13,0.03
9-Apr-13,0.023
10-Apr-13,-0.025
11-Apr-13,-0.012
12-Apr-13,-0.01
15-Apr-13,-0.01
16-Apr-13,-0.025
17-Apr-13,-0.02
18-Apr-13,-0.015
19-Apr-13,-0.032
22-Apr-13,-0.02
23-Apr-13,-0.025
24-Apr-13,-0.033
25-Apr-13,-0.043
26-Apr-13,-0.054
29-Apr-13,-0.035
30-Apr-13,-0.024
1-May-13,-0.015
2-May-13,-0.003
3-May-13,0.002
6-May-13,-0.001
7-May-13,0.002
8-May-13,-0.03
9-May-13,0.003
10-May-13,0.047
13-May-13,0.01
14-May-13,0.02
15-May-13,0.071
16-May-13,0.093
17-May-13,0.081
20-May-13,0.015
21-May-13,-0.02
22-May-13,0.015
23-May-13,0.101
24-May-13,0.018
27-May-13,-0.013
28-May-13,0.021
29-May-13,0.065
30-May-13,0.031
31-May-13,0.047
3-Jun-13,0.02
4-Jun-13,0.019
5-Jun-13,-0.055
6-Jun-13,-0.04
7-Jun-13,-0.016
10-Jun-13,0.018
11-Jun-13,-0.007
12-Jun-13,-0.003
13-Jun-13,-0.023
14-Jun-13,-0.02
17-Jun-13,-0.025
18-Jun-13,-0.01
19-Jun-13,-0.04
20-Jun-13,0.078
21-Jun-13,0.038
24-Jun-13,0.053
25-Jun-13,-0.013
26-Jun-13,-0.015
27-Jun-13,-0.007
28-Jun-13,-0.035
1-Jul-13,-0.001
2-Jul-13,0.015
3-Jul-13,0.032
4-Jul-13,0.01
5-Jul-13,0.028
8-Jul-13,0.023
9-Jul-13,0.007
10-Jul-13,-0.002
11-Jul-13,-0.037
12-Jul-13,-0.021
15-Jul-13,-0.03
16-Jul-13,-0.035
17-Jul-13,-0.015
18-Jul-13,0.003
19-Jul-13,-0.003
22-Jul-13,0.015
23-Jul-13,-0.003
24-Jul-13,0.008
25-Jul-13,0.023
26-Jul-13,-0.015
29-Jul-13,-0.013
30-Jul-13,0.002
